,period,poolAmount,poolAmountUsd,timestamp,token,date
0,hourly,25149417253080,25149417253080000000000000000000000000,1662577200,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,2022-09-07 19:00:00
1,hourly,315175300639207526753009,5936417047442070822644436041717420000,1662577200,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,2022-09-07 19:00:00
2,hourly,21600003082730,21600003082730000000000000000000000000,1662577200,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,2022-09-07 19:00:00
3,hourly,27255935258,5217703545020139932671800000000000000,1662577200,0x50b7545627a5162f82a992c33b87adc75187b218,2022-09-07 19:00:00
4,hourly,7640252401818057442930,12041190590313294891206538600000000000,1662577200,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,2022-09-07 19:00:00
5,hourly,25377450724728,25377450724728000000000000000000000000,1662573600,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,2022-09-07 18:00:00
6,hourly,315094395419362884739805,5930076521792409490803130100000000000,1662573600,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,2022-09-07 18:00:00
7,hourly,21603959367779,21603959367779000000000000000000000000,1662573600,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,2022-09-07 18:00:00
8,hourly,27255706432,5203365110367974400000000000000000000,1662573600,0x50b7545627a5162f82a992c33b87adc75187b218,2022-09-07 18:00:00
9,hourly,7589918968409609682111,11928712490073477733302281639616300000,1662573600,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,2022-09-07 18:00:00
10,hourly,25404438286217,25404438286217000000000000000000000000,1662570000,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,2022-09-07 17:00:00
11,hourly,314317221253246456845850,5894543652336070858462756091519000000,1662570000,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,2022-09-07 17:00:00
12,hourly,21420328566393,21420328566393000000000000000000000000,1662570000,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,2022-09-07 17:00:00
13,hourly,28137414631,5351347966494292200000000000000000000,1662570000,0x50b7545627a5162f82a992c33b87adc75187b218,2022-09-07 17:00:00
14,hourly,7673350572111920254335,12052224809593308666673811100000000000,1662570000,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,2022-09-07 17:00:00
15,hourly,25195196284604,25195196284604000000000000000000000000,1662566400,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,2022-09-07 16:00:00
16,hourly,303804050094225081843393,5650755331752586522287109800000000000,1662566400,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,2022-09-07 16:00:00
17,hourly,21824922161650,21824922161650000000000000000000000000,1662566400,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,2022-09-07 16:00:00
18,hourly,28144468089,5327637503199622590888900000000000000,1662566400,0x50b7545627a5162f82a992c33b87adc75187b218,2022-09-07 16:00:00
