,date,token,token_name,weight,amount
0,2022-09-07,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,USDC,32.35083615182503,239178.93
1,2022-09-07,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,AVAX,8.621037066114644,3443091024298692.0
2,2022-09-07,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,30.25560516608782,223688.29
3,2022-09-07,0x50b7545627a5162f82a992c33b87adc75187b218,WBTC.e,7.189680781995195,0.0
4,2022-09-07,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,16.019576800594137,76906328733881.47
5,2022-09-07,0x152b9d0fdc40c096757f570a51e494bd4b943e50,BTC.b,5.562683385438963,218.01
6,2022-09-07,0x130966628846bfd36ff31a822705796e8cb8c18d,MIM,0.0005806479442126085,4292895283534.25
7,2022-09-06,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,USDC,32.087931251677496,236225.04
8,2022-09-06,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,AVAX,8.621534028688787,3482633675515436.5
9,2022-09-06,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,30.298170761052027,223049.18
10,2022-09-06,0x50b7545627a5162f82a992c33b87adc75187b218,WBTC.e,7.125775164877953,0.0
11,2022-09-06,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,16.28765839939884,76812450202905.6
12,2022-09-06,0x152b9d0fdc40c096757f570a51e494bd4b943e50,BTC.b,5.5783076936766935,216.26
13,2022-09-06,0x130966628846bfd36ff31a822705796e8cb8c18d,MIM,0.0006227006282030782,4584199607909.35
14,2022-09-05,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,USDC,29.828893946247323,226490.02
15,2022-09-05,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,AVAX,12.903109980707162,5047551752208785.0
16,2022-09-05,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,27.657165271469722,210000.14
17,2022-09-05,0x50b7545627a5162f82a992c33b87adc75187b218,WBTC.e,7.227062197244102,0.0
18,2022-09-05,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,16.71043003640128,78364337543089.72
19,2022-09-05,0x152b9d0fdc40c096757f570a51e494bd4b943e50,BTC.b,5.673338567930408,217.34
20,2022-09-04,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,USDC,30.28611295596177,229024.13
21,2022-09-04,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,AVAX,12.211748005346013,4858312942174778.0
22,2022-09-04,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,27.656307291955212,209137.49
23,2022-09-04,0x50b7545627a5162f82a992c33b87adc75187b218,WBTC.e,7.172414170298397,0.0
24,2022-09-04,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,16.98600136616407,81394230118572.38
25,2022-09-04,0x152b9d0fdc40c096757f570a51e494bd4b943e50,BTC.b,5.687416210274538,216.7
26,2022-09-03,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,USDC,30.29768099564159,228486.63
27,2022-09-03,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,AVAX,12.210670830104721,4884421460198749.0
28,2022-09-03,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,27.859725617656643,210101.06
29,2022-09-03,0x50b7545627a5162f82a992c33b87adc75187b218,WBTC.e,7.133521507236578,0.0
30,2022-09-03,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,16.85007008474939,81590614259035.14
31,2022-09-03,0x152b9d0fdc40c096757f570a51e494bd4b943e50,BTC.b,5.6483309646110795,216.0
32,2022-09-02,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,USDC,28.208656043947546,214212.08
33,2022-09-02,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,AVAX,14.421028117633673,5803700659839356.0
34,2022-09-02,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,27.693467435476933,210299.82
35,2022-09-02,0x50b7545627a5162f82a992c33b87adc75187b218,WBTC.e,7.161630334641822,0.0
36,2022-09-02,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,16.82053971743915,81166290747387.9
37,2022-09-02,0x152b9d0fdc40c096757f570a51e494bd4b943e50,BTC.b,5.694678350860878,216.86
